NeuralNetwork	threshold_backward	FLOAT_DTYPES	POINTWISE_SHAPES	test_binary_pointwise_ops.py
NeuralNetwork	upsample_nearest2d	FLOAT_DTYPES	(32, 16, 128, 128),(15, 37, 256, 256),(3, 5, 127, 127),(128, 192, 42, 51),(3, 7, 1023, 1025)	test_special_ops.py
NeuralNetwork	weight_norm_interface	无单独测试
NeuralNetwork	weight_norm_interface_backward	无单独测试


POINTWISE_SHAPES	[(), (1,), (1024, 1024), (20, 320, 15), (16, 128, 64, 60), (16, 7, 57, 32, 29)]

FLOAT_DTYPES = PRIMARY_FLOAT_DTYPES + [torch.bfloat16]
PRIMARY_FLOAT_DTYPES = [torch.float16, torch.float32]

REDUCTION_SHAPES = [(1, 2), (4096, 256), (200, 40999, 3)]
SPECIAL_SHAPES = [(1,), (1024, 1024), (20, 320, 15), (16, 128, 64, 1280), (16, 7, 57, 32, 29)]
